Detail, Note
https://shopee.vn/Qu%E1%BA%A7n-short-%C4%91%C5%A9i_qu%E1%BA%A7n-%C4%91%C3%B9i-%C4%91%C5%A9i-kho%C3%A1-th%E1%BA%ADt-si%C3%AAu-HOT_N001-i.31233825.4619481025, Tag sai danh mục
Chân váy, Không thấy trong danh mục kênh người bán
