CategoryLink,IsCompelete,ProductQuantity,ProductsAreCrawled,CrawlTime,IsComplete
https://shopee.vn/Áo-Khoác-cat.11035567.11035568.11035570,,3,"[13642055073, 11953602520, 14305548999]",2022-10-01 17:19:29.710235,0.0
https://shopee.vn/Áo-Hoodie-cat.11035567.11035578.11035579,,3,"[15649705543, 12846907959, 11759160670]",2022-10-01 17:19:55.309361,0.0
https://shopee.vn/Áo-Nỉ-cat.11035567.11035578.11035580,,3,"[14927727400, 20610056459, 7055292884]",2022-10-01 17:20:16.202618,0.0
