Unnamed: 0,CategoryLink,IsCompelete,ProductQuantity,PagesAreCrawled,CrawlTime,PageIsCrawled
,https://shopee.vn/Áo-Khoác-Mùa-Đông-&-Áo-Choàng-cat.11035567.11035568.11035569,0,0,[],2022-09-27 21:40:22.120855,
,https://shopee.vn/Khác-cat.11035567.11035568.11035571,0,0,[],2022-09-27 21:40:48.187099,
,https://shopee.vn/Áo-Khoác-cat.11035567.11035568.11035570,0,60,[1],2022-09-28 20:42:14.427268,
